file_path,num_packets,start_time,end_time,duration,file_size_mb
../Data/fine_grained/Classroom/80MHz/3mo/m1/CSI_pcap/A.pcap,1123914,2018-05-05 04:49:44.930744,2018-05-05 05:03:24.100491,819.1697471141815,1179.032730102539
../Data/fine_grained/Classroom/80MHz/3mo/m1/CSI_pcap/C.pcap,993392,2018-05-05 06:02:45.068023,2018-05-05 06:16:24.295621,819.227597951889,1042.1097030639648
../Data/fine_grained/Classroom/80MHz/3mo/m1/CSI_pcap/P.pcap,460620,2018-05-05 11:54:31.280375,2018-05-05 12:08:10.381929,819.1015539169312,483.20963287353516
../Data/fine_grained/Classroom/80MHz/3mo/m1/CSI_pcap/S.pcap,460490,2018-05-05 13:12:24.335081,2018-05-05 13:26:03.440964,819.1058828830719,483.07325744628906
../Data/fine_grained/Classroom/80MHz/3mo/m2/CSI_pcap/A.pcap,1071731,2018-05-05 05:18:12.452544,2018-05-05 05:31:51.532269,819.0797250270844,1124.290584564209
../Data/fine_grained/Classroom/80MHz/3mo/m2/CSI_pcap/C.pcap,1005070,2018-05-05 06:10:25.018642,2018-05-05 06:24:04.253866,819.2352240085602,1054.3604125976562
../Data/fine_grained/Classroom/80MHz/3mo/m2/CSI_pcap/P.pcap,447391,2018-05-05 12:51:19.859548,2018-05-05 13:04:58.900236,819.0406877994537,469.33185958862305
../Data/fine_grained/Classroom/80MHz/3mo/m2/CSI_pcap/S.pcap,445674,2018-05-05 13:35:05.663228,2018-05-05 13:48:44.733418,819.0701899528503,467.53065490722656
../Data/fine_grained/Classroom/80MHz/3mo/m3/CSI_pcap/A.pcap,1016476,2018-05-05 06:09:53.419802,2018-05-05 06:23:32.650395,819.2305929660797,1066.325782775879
../Data/fine_grained/Classroom/80MHz/3mo/m3/CSI_pcap/C.pcap,1150885,2018-05-05 04:56:53.266845,2018-05-05 05:10:32.439586,819.1727409362793,1207.3264350891113
../Data/fine_grained/Classroom/80MHz/3mo/m3/CSI_pcap/P.pcap,468972,2018-05-05 05:36:21.267278,2018-05-05 05:50:00.489246,819.2219679355621,491.97122955322266
../Data/fine_grained/Classroom/80MHz/3mo/m3/CSI_pcap/S.pcap,473752,2018-05-05 06:52:01.890200,2018-05-05 07:05:40.956963,819.0667631626129,496.9856491088867
../Data/fine_grained/Office/80MHz/3mo/m1/CSI_pcap/A.pcap,1004796,2018-05-05 03:29:05.561509,2018-05-05 03:42:47.680745,822.1192359924316,1054.0729751586914
../Data/fine_grained/Office/80MHz/3mo/m1/CSI_pcap/C.pcap,1077019,2018-05-05 04:12:58.390287,2018-05-05 04:26:43.516471,825.1261839866638,1129.8379173278809
../Data/fine_grained/Office/80MHz/3mo/m1/CSI_pcap/P.pcap,1115752,2018-05-05 10:24:12.958328,2018-05-05 10:37:58.042720,825.0843920707703,1170.4704513549805
../Data/fine_grained/Office/80MHz/3mo/m1/CSI_pcap/S.pcap,1008870,2018-05-05 11:13:02.809967,2018-05-05 11:26:47.994788,825.1848208904266,1058.3467712402344
../Data/fine_grained/Office/80MHz/3mo/m2/CSI_pcap/A.pcap,1126126,2018-05-05 03:46:03.096331,2018-05-05 03:59:48.342008,825.2456772327423,1181.3532104492188
../Data/fine_grained/Office/80MHz/3mo/m2/CSI_pcap/C.pcap,1144026,2018-05-05 04:13:14.217786,2018-05-05 04:26:59.350291,825.132504940033,1200.1310577392578
../Data/fine_grained/Office/80MHz/3mo/m2/CSI_pcap/P.pcap,1114298,2018-05-05 10:56:09.127412,2018-05-05 11:09:54.364170,825.2367579936981,1168.9451446533203
../Data/fine_grained/Office/80MHz/3mo/m2/CSI_pcap/S.pcap,1016527,2018-05-05 11:28:50.203158,2018-05-05 11:42:35.362561,825.1594030857086,1066.3792839050293
../Data/fine_grained/Office/80MHz/3mo/m3/CSI_pcap/A.pcap,1061051,2018-05-05 04:09:39.020496,2018-05-05 04:23:24.149772,825.1292760372162,1113.0868186950684
../Data/fine_grained/Office/80MHz/3mo/m3/CSI_pcap/C.pcap,1000327,2018-05-05 03:25:46.182688,2018-05-05 03:39:33.454380,827.2716920375824,1049.38480758667
../Data/fine_grained/Office/80MHz/3mo/m3/CSI_pcap/P.pcap,1072043,2018-05-05 10:36:13.136730,2018-05-05 10:49:58.318346,825.1816160678864,1124.6178855895996
../Data/fine_grained/Office/80MHz/3mo/m3/CSI_pcap/S.pcap,963196,2018-05-05 11:25:14.902687,2018-05-05 11:39:00.058782,825.1560950279236,1010.4328384399414
