test,environment,monitor,slot,nr_batches,nr_packets,nr_subcarriers
coarse,Classroom,m1,Test,2244,112200,242
coarse,Classroom,m1,Train,9207,460350,242
coarse,Classroom,m2,Test,2247,112350,242
coarse,Classroom,m2,Train,9222,461100,242
coarse,Classroom,m3,Test,2258,112900,242
coarse,Classroom,m3,Train,9264,463200,242
coarse,Office,m1,Test,2309,115450,242
coarse,Office,m1,Train,9470,473500,242
coarse,Office,m2,Test,2447,122350,242
coarse,Office,m2,Train,10033,501650,242
coarse,Office,m3,Test,2287,114350,242
coarse,Office,m3,Train,9383,469150,242
fine_grained,Classroom,m1,Test,19749,987450,242
fine_grained,Classroom,m1,Train,57962,2898100,242
fine_grained,Classroom,m2,Test,18930,946500,242
fine_grained,Classroom,m2,Train,59145,2957250,242
fine_grained,Classroom,m3,Test,19541,977050,242
fine_grained,Classroom,m3,Train,61040,3052000,242
fine_grained,Office,m1,Test,30679,1533950,242
fine_grained,Office,m1,Train,89842,4492100,242
fine_grained,Office,m2,Test,31281,1564050,242
fine_grained,Office,m2,Train,97480,4874000,242
fine_grained,Office,m3,Test,29360,1468000,242
fine_grained,Office,m3,Train,91520,4576000,242
proximity,Classroom,m1,Test_m1,19749,987450,242
proximity,Classroom,m1,Test_m2,19084,954200,242
proximity,Classroom,m1,Test_m3,19084,954200,242
proximity,Classroom,m1,Train_m1,57962,2898100,242
proximity,Classroom,m1,Train_m2,59625,2981250,242
proximity,Classroom,m1,Train_m3,59625,2981250,242
proximity,Classroom,m2,Test_m1,19587,979350,242
proximity,Classroom,m2,Test_m2,18930,946500,242
proximity,Classroom,m2,Test_m3,18930,946500,242
proximity,Classroom,m2,Train_m1,57500,2875000,242
proximity,Classroom,m2,Train_m2,59145,2957250,242
proximity,Classroom,m2,Train_m3,59145,2957250,242
proximity,Classroom,m3,Test_m1,20219,1010950,242
proximity,Classroom,m3,Test_m2,19541,977050,242
proximity,Classroom,m3,Test_m3,19541,977050,242
proximity,Classroom,m3,Train_m1,59337,2966850,242
proximity,Classroom,m3,Train_m2,61040,3052000,242
proximity,Classroom,m3,Train_m3,61040,3052000,242
proximity,Office,m1,Test_m1,30679,1533950,242
proximity,Office,m1,Test_m2,29648,1482400,242
proximity,Office,m1,Test_m3,29648,1482400,242
proximity,Office,m1,Train_m1,89842,4492100,242
proximity,Office,m1,Train_m2,92417,4620850,242
proximity,Office,m1,Train_m3,92417,4620850,242
proximity,Office,m2,Test_m1,32365,1618250,242
proximity,Office,m2,Test_m2,31281,1564050,242
proximity,Office,m2,Test_m3,31281,1564050,242
proximity,Office,m2,Train_m1,94768,4738400,242
proximity,Office,m2,Train_m2,97480,4874000,242
proximity,Office,m2,Train_m3,97480,4874000,242
proximity,Office,m3,Test_m1,30383,1519150,242
proximity,Office,m3,Test_m2,29360,1468000,242
proximity,Office,m3,Test_m3,29360,1468000,242
proximity,Office,m3,Train_m1,88970,4448500,242
proximity,Office,m3,Train_m2,91520,4576000,242
proximity,Office,m3,Train_m3,91520,4576000,242
