test,environment,monitor,slot,csv_file_path,elapsed_time_seconds
proximity,Classroom,m1,Test_m1,../Data/proximity/Classroom/80MHz/3mo/m1/Slots/Test_m1/test_set.csv,507.65103793144226
proximity,Classroom,m1,Test_m2,../Data/proximity/Classroom/80MHz/3mo/m1/Slots/Test_m2/test_set.csv,503.2026274204254
proximity,Classroom,m1,Test_m3,../Data/proximity/Classroom/80MHz/3mo/m1/Slots/Test_m3/test_set.csv,491.40867257118225
proximity,Classroom,m2,Test_m1,../Data/proximity/Classroom/80MHz/3mo/m2/Slots/Test_m1/test_set.csv,538.5268094539642
proximity,Classroom,m2,Test_m2,../Data/proximity/Classroom/80MHz/3mo/m2/Slots/Test_m2/test_set.csv,495.16921496391296
proximity,Classroom,m2,Test_m3,../Data/proximity/Classroom/80MHz/3mo/m2/Slots/Test_m3/test_set.csv,487.401974439621
proximity,Classroom,m3,Test_m1,../Data/proximity/Classroom/80MHz/3mo/m3/Slots/Test_m1/test_set.csv,540.5950212478638
proximity,Classroom,m3,Test_m2,../Data/proximity/Classroom/80MHz/3mo/m3/Slots/Test_m2/test_set.csv,504.18212389945984
proximity,Classroom,m3,Test_m3,../Data/proximity/Classroom/80MHz/3mo/m3/Slots/Test_m3/test_set.csv,512.9207575321198
proximity,Office,m1,Test_m1,../Data/proximity/Office/80MHz/3mo/m1/Slots/Test_m1/test_set.csv,843.0033009052277
proximity,Office,m1,Test_m2,../Data/proximity/Office/80MHz/3mo/m1/Slots/Test_m2/test_set.csv,832.6847848892212
proximity,Office,m1,Test_m3,../Data/proximity/Office/80MHz/3mo/m1/Slots/Test_m3/test_set.csv,936.7739243507385
proximity,Office,m2,Test_m1,../Data/proximity/Office/80MHz/3mo/m2/Slots/Test_m1/test_set.csv,957.6337130069733
proximity,Office,m2,Test_m2,../Data/proximity/Office/80MHz/3mo/m2/Slots/Test_m2/test_set.csv,980.0247428417206
proximity,Office,m2,Test_m3,../Data/proximity/Office/80MHz/3mo/m2/Slots/Test_m3/test_set.csv,958.3523700237274
proximity,Office,m3,Test_m1,../Data/proximity/Office/80MHz/3mo/m3/Slots/Test_m1/test_set.csv,990.8057677745819
proximity,Office,m3,Test_m2,../Data/proximity/Office/80MHz/3mo/m3/Slots/Test_m2/test_set.csv,956.2019743919373
proximity,Office,m3,Test_m3,../Data/proximity/Office/80MHz/3mo/m3/Slots/Test_m3/test_set.csv,961.7748229503632
